hh,grp,first_day,last_day,n_days_any,n_days_full,dropped
MAC000395,ToU,2012-03-13,2014-02-27,717,683.0,0
MAC000401,ToU,2012-03-14,2014-02-27,716,684.0,0
MAC000549,ToU,2012-04-11,2014-02-27,686,648.0,0
MAC000590,ToU,2012-04-12,2014-02-27,687,662.0,0
MAC000595,ToU,2012-04-12,2014-02-27,687,659.0,0
MAC001143,ToU,2012-05-09,2014-02-27,658,632.0,0
MAC002869,ToU,2012-05-11,2014-02-27,656,629.0,0
MAC003088,ToU,2012-05-16,2014-02-27,653,627.0,0
MAC003211,ToU,2012-09-17,2014-02-27,529,508.0,0
MAC003617,ToU,2012-10-16,2014-02-27,500,480.0,0
MAC004106,ToU,2012-05-18,2014-02-27,649,622.0,0
MAC004122,ToU,2012-05-19,2014-02-27,650,627.0,0
MAC004568,ToU,2011-12-23,2013-03-03,437,418.0,1
MAC004910,ToU,2012-01-18,2014-02-27,772,740.0,0
MAC005492,ToU,2012-04-17,2014-02-27,552,533.0,0
MAC000029,Std,2011-12-07,2014-02-27,814,783.0,0
MAC000177,Std,2011-11-26,2014-02-27,825,793.0,0
MAC000333,Std,2012-03-07,2014-02-27,723,693.0,0
MAC000618,Std,2012-04-12,2014-02-27,686,661.0,0
MAC000897,Std,2012-04-27,2014-02-27,671,644.0,0
MAC001210,Std,2012-05-12,2014-02-27,657,633.0,0
MAC001496,Std,2012-05-22,2014-02-27,645,620.0,0
MAC001808,Std,2012-06-06,2014-02-27,631,607.0,0
MAC001881,Std,2012-06-08,2014-02-27,630,607.0,0
MAC002197,Std,2012-06-23,2014-02-27,615,590.0,0
MAC002274,Std,2012-04-23,2014-02-27,666,642.0,0
MAC002317,Std,2012-04-24,2014-02-27,673,645.0,0
MAC002505,Std,2012-07-07,2014-02-27,601,578.0,0
MAC002506,Std,2012-07-07,2014-02-27,600,579.0,0
MAC002707,Std,2012-05-05,2014-02-27,663,630.0,0
MAC002778,Std,2012-05-10,2013-10-28,536,512.0,1
MAC002824,Std,2012-05-11,2014-02-27,658,626.0,0
MAC002863,Std,2012-05-11,2014-02-27,658,633.0,0
MAC003018,Std,2012-05-15,2014-02-27,653,622.0,0
MAC003260,Std,2012-09-19,2014-02-27,527,508.0,0
MAC003343,Std,2012-09-26,2013-07-28,305,294.0,1
MAC003349,Std,2012-09-26,2014-02-27,520,500.0,0
MAC003395,Std,2012-09-28,2014-02-27,517,498.0,0
MAC003463,Std,2012-10-02,2013-08-11,314,301.0,1
